Timestamp,Machine Speed,Headbox Flow,Consistency,Steam Pressure,Basis Weight,Moisture,Grade,Grade Change ID
2026-07-15 14:00:00,1200.0,14500.0,0.85,4.2,80.1,6.5,GradeA,GC_20260715_01
2026-07-15 14:01:00,1200.0,14500.0,0.85,4.2,80.3,6.5,GradeA,GC_20260715_01
2026-07-15 14:02:00,1180.0,14600.0,0.86,4.3,82.5,6.6,GradeA,GC_20260715_01
2026-07-15 14:03:00,1160.0,14800.0,0.87,4.4,86.2,6.7,GradeA,GC_20260715_01
2026-07-15 14:04:00,1140.0,15000.0,0.88,4.5,91.8,6.8,GradeA,GC_20260715_01
2026-07-15 14:05:00,1120.0,15200.0,0.89,4.6,98.1,6.9,GradeB,GC_20260715_01
2026-07-15 14:06:00,1100.0,15400.0,0.90,4.7,104.5,7.0,GradeB,GC_20260715_01
2026-07-15 14:07:00,1080.0,15600.0,0.91,4.8,110.3,7.1,GradeB,GC_20260715_01
2026-07-15 14:08:00,1060.0,15800.0,0.92,4.9,114.9,7.2,GradeB,GC_20260715_01
2026-07-15 14:09:00,1040.0,16000.0,0.93,5.0,117.8,7.3,GradeB,GC_20260715_01
2026-07-15 14:10:00,1020.0,16100.0,0.94,5.0,119.2,7.2,GradeB,GC_20260715_01
2026-07-15 14:11:00,1000.0,16200.0,0.95,5.0,119.8,7.1,GradeB,GC_20260715_01
2026-07-15 14:12:00,1000.0,16200.0,0.95,5.0,120.1,7.0,GradeB,GC_20260715_01
2026-07-15 14:13:00,1000.0,16200.0,0.95,5.0,120.0,7.0,GradeB,GC_20260715_01
2026-07-15 14:14:00,1000.0,16200.0,0.95,5.0,120.0,7.0,GradeB,GC_20260715_01
2026-07-15 14:15:00,1000.0,16200.0,0.95,5.0,120.0,7.0,GradeB,GC_20260715_01
